rating_id,user_id,movie_id,rating,timestamp
1,159,716,4,1728560538
2,123,60,2,1706960021
3,223,119,4,1724612471
4,29,317,2,1708075042
5,7,725,2,1727605621
6,6,168,4,1715700693
7,268,530,3,1709669547
8,191,130,3,1728660445
9,61,790,1,1715308304
10,220,279,5,1706210388
11,135,730,5,1725123707
12,40,509,4,1721206195
13,185,57,4,1732902529
14,291,171,3,1709345647
15,131,792,1,1734073868
16,294,691,1,1711731180
17,261,3,1,1732880021
18,7,251,1,1719896992
19,187,393,2,1710072132
20,19,567,4,1711600683
21,165,255,4,1734798186
22,164,278,1,1723244764
23,191,123,5,1726660261
24,27,184,2,1731056305
25,265,48,4,1706379987
26,239,887,3,1730022475
27,160,336,1,1722625867
28,234,9,3,1710800606
29,150,578,3,1728883252
30,125,476,3,1723921053
31,253,792,2,1728644591
32,280,779,2,1709119369
33,4,955,4,1704869495
34,120,555,3,1725405867
35,5,974,3,1704116257
36,193,870,3,1707555150
37,106,543,2,1718153882
38,252,985,1,1708844461
39,144,96,1,1734980039
40,119,919,5,1717927086
41,191,470,1,1723554628
42,49,518,2,1725448610
43,202,77,5,1723120102
44,32,446,2,1712011941
45,150,268,3,1735140011
46,202,718,3,1714739446
47,232,279,2,1706573294
48,104,140,5,1707723721
49,80,109,2,1719152156
50,239,322,4,1708118452
51,275,367,2,1719231020
52,158,475,3,1732671755
53,62,93,2,1731165655
54,156,847,5,1705420443
55,111,856,3,1709044120
56,47,729,2,1716003946
57,203,526,1,1726789703
58,154,267,2,1705110141
59,208,876,4,1722721912
60,282,256,1,1719570798
61,53,824,2,1708142495
62,7,64,2,1708453275
63,102,844,4,1716557493
64,44,597,5,1712751779
65,39,23,1,1710702600
66,228,829,2,1707153490
67,170,126,1,1719535622
68,26,173,5,1718601516
69,203,509,1,1716909468
70,219,177,3,1711271876
71,96,282,3,1719032860
72,77,36,5,1724843317
73,126,663,3,1720807224
74,211,904,5,1720140810
75,32,90,3,1716919060
76,71,430,2,1725631040
77,270,256,5,1730737814
78,10,392,3,1720162738
79,279,801,4,1715611069
80,290,515,3,1717099113
81,139,185,1,1714766955
82,113,31,3,1706033195
83,242,543,3,1729798153
84,300,239,2,1707427150
85,127,673,2,1713010362
86,274,836,1,1729704454
87,113,590,4,1715972467
88,89,181,2,1723948855
89,163,826,3,1734735279
90,15,721,3,1723114419
91,289,146,5,1710383273
92,253,556,3,1709957907
93,252,39,1,1705951884
94,120,617,2,1704735872
95,270,490,1,1715198345
96,104,826,2,1715501176
97,91,941,3,1706065566
98,12,152,5,1727712885
99,73,793,1,1732470385
100,270,882,3,1706500956
101,192,722,4,1723730656
102,52,345,3,1714891967
103,70,1000,2,1728640856
104,224,811,4,1725850075
105,163,179,5,1727339225
106,183,229,5,1731395749
107,90,388,3,1728695984
108,151,131,2,1728522708
109,1,972,5,1717207163
110,291,34,2,1724280009
111,163,944,5,1711479214
112,290,107,4,1708786408
113,170,764,1,1712053018
114,178,328,2,1725414085
115,46,842,3,1719053613
116,6,272,2,1712440401
117,35,359,3,1730475209
118,56,738,1,1705682760
119,198,449,4,1709648591
120,212,505,4,1715852562
121,280,385,1,1731877347
122,246,808,5,1725910113
123,116,167,4,1706540476
124,18,302,1,1714761564
125,134,975,1,1706556952
126,176,175,4,1709466258
127,39,561,1,1715406939
128,248,722,1,1718540009
129,85,622,4,1709338728
130,28,104,3,1710964329
131,98,420,5,1728294778
132,277,272,3,1714046309
133,122,99,1,1717250810
134,293,563,4,1709220823
135,28,370,1,1718415275
136,45,302,5,1720184346
137,103,100,1,1711011389
138,88,654,3,1706816519
139,243,865,1,1714413823
140,204,483,4,1734094305
141,136,94,5,1717070452
142,95,380,4,1716462263
143,96,457,1,1712901946
144,226,477,3,1711658631
145,138,578,1,1709138303
146,50,88,3,1731185226
147,278,424,5,1711701261
148,284,63,4,1731528322
149,268,429,5,1727121374
150,244,587,2,1720047910
151,154,81,4,1734359376
152,18,515,5,1734281458
153,265,820,5,1726801498
154,76,124,4,1709868055
155,86,996,2,1731194640
156,99,130,1,1718273304
157,41,700,4,1710842486
158,76,855,5,1712720430
159,164,933,1,1706987356
160,199,570,4,1722591064
161,167,878,3,1721505041
162,235,940,1,1730459459
163,268,801,4,1707842705
164,213,154,2,1723078937
165,299,777,1,1735102639
166,55,577,1,1730432448
167,147,889,5,1733599656
168,177,899,4,1712930154
169,197,671,4,1723261114
170,243,39,2,1713308565
171,207,148,5,1724490281
172,206,40,4,1733916357
173,170,708,2,1705721130
174,244,943,3,1734166577
175,191,21,3,1731494120
176,156,319,3,1732348437
177,252,879,1,1733222646
178,117,138,3,1729022424
179,227,793,3,1713107434
180,214,620,1,1710373275
181,227,217,4,1728929181
182,249,778,5,1733165233
183,192,841,1,1721356782
184,82,68,3,1727876398
185,260,414,2,1730256985
186,269,901,5,1705038539
187,89,198,2,1732151477
188,30,256,1,1719383075
189,26,941,3,1727710791
190,102,281,3,1731699485
191,238,518,4,1725388015
192,64,698,1,1712185295
193,191,501,5,1719035947
194,91,984,4,1723759633
195,283,359,3,1709553806
196,133,767,1,1713632541
197,15,396,1,1709533465
198,293,799,2,1732827079
199,114,663,2,1726806879
200,106,276,4,1721290060
201,11,886,1,1719975262
202,68,663,2,1724238176
203,5,230,3,1724479833
204,157,730,3,1718287796
205,193,873,3,1719468617
206,130,224,4,1714205506
207,267,845,5,1717393427
208,300,105,1,1721230752
209,192,575,5,1724503530
210,145,306,1,1720231659
211,33,345,3,1725561992
212,167,883,3,1712829836
213,153,193,2,1721424692
214,124,922,1,1731092940
215,207,677,3,1726909572
216,72,739,1,1726058793
217,255,303,3,1734498102
218,215,415,4,1728787827
219,19,598,5,1731448109
220,98,352,2,1727096214
221,274,654,4,1734485181
222,184,520,3,1732434762
223,88,861,5,1710145110
224,151,100,4,1708360292
225,133,743,5,1729666487
226,94,970,3,1726026382
227,46,228,3,1711560841
228,158,431,3,1716538792
229,134,600,3,1719628424
230,61,482,1,1733138537
231,299,595,5,1706456803
232,242,911,2,1720860434
233,62,889,4,1721845630
234,153,424,1,1733288048
235,78,141,2,1715565293
236,210,584,4,1708873005
237,162,884,2,1730204128
238,42,500,3,1725241146
239,91,321,1,1704225358
240,232,281,2,1729608608
241,87,591,2,1720494681
242,46,133,5,1718620140
243,220,414,4,1720086095
244,197,5,1,1721977972
245,103,749,3,1704539549
246,165,776,5,1710461893
247,10,693,1,1725095323
248,128,232,3,1714539278
249,67,106,4,1720956369
250,157,172,1,1731710811
251,24,306,3,1719365548
252,267,611,5,1715403066
253,223,910,2,1715567405
254,251,368,2,1709599772
255,207,20,2,1711594175
256,68,217,1,1723854008
257,259,174,1,1716367967
258,20,385,3,1729946044
