vote_id,user_id,post_id,direction,timestamp
1,407,6946,1,1706813527
2,508,2117,1,1707576440
3,227,7825,1,1708697644
4,665,9056,-1,1708562654
5,724,4115,-1,1709313712
6,514,10852,1,1708627273
7,15,1138,-1,1708452472
8,814,3677,1,1708216017
9,4,10950,1,1708719585
10,655,6469,1,1708720212
11,88,9641,-1,1708906748
12,10,4102,1,1707121371
13,984,3984,-1,1708120611
14,206,11750,1,1707355371
15,594,572,-1,1707756508
16,555,1863,-1,1707126402
17,32,9954,1,1707138719
18,330,9652,-1,1709003385
19,178,13155,1,1707509506
20,654,6855,1,1708339468
21,449,2176,1,1709049944
22,355,13148,-1,1707503814
23,484,10476,-1,1708700052
24,162,10517,1,1707875904
25,229,5354,-1,1709175158
26,774,11848,-1,1708672739
27,417,9832,-1,1707302231
28,622,3178,1,1706937574
29,639,5239,-1,1708172917
30,638,14552,1,1708399597
31,466,1153,-1,1708567776
32,47,12719,-1,1707594926
33,87,2067,-1,1709281318
34,791,8665,1,1707173204
35,628,3088,1,1709072085
36,839,3205,1,1706935903
37,767,8362,-1,1709233578
38,638,14456,-1,1707114255
39,635,11373,-1,1708008094
40,87,11135,1,1707043021
41,64,5992,-1,1706992963
42,146,5282,1,1707972308
43,813,6391,1,1707101300
44,178,1914,-1,1707539088
45,323,6637,1,1706931115
46,144,1318,-1,1707888872
47,185,11514,-1,1707399010
48,72,5463,1,1708518049
49,512,11045,1,1707155578
50,920,7702,1,1708440042
51,552,3513,1,1706757111
52,249,2800,-1,1707734715
53,429,621,-1,1707660052
54,847,2704,1,1707486721
55,777,2711,-1,1707456281
56,631,7589,1,1708106204
57,42,1295,-1,1707815444
58,752,9706,1,1708367338
59,123,3882,-1,1707096202
60,517,5735,-1,1708849304
61,37,12004,1,1709007070
62,550,9815,1,1709207860
63,278,7613,-1,1708781462
64,211,3131,1,1707912295
65,761,13242,1,1707270898
66,997,10860,1,1707645988
67,248,530,-1,1708216696
68,143,3462,1,1708390996
69,30,7597,1,1708388950
70,188,5995,1,1708432643
71,22,9345,1,1707653089
72,738,13059,-1,1706826933
73,507,6408,-1,1707491819
74,444,6954,-1,1707118682
75,382,14164,-1,1709002459
76,8,11651,1,1706765875
77,987,7333,-1,1707826505
78,96,12807,-1,1707898796
79,168,935,1,1709270209
80,879,528,1,1708274617
81,600,10641,-1,1709120806
82,70,3462,1,1708110895
83,737,723,-1,1708779865
84,690,128,-1,1706876665
85,300,730,1,1706895174
86,99,6144,1,1708466172
87,883,10260,-1,1708665601
88,668,6109,-1,1708042215
89,277,3876,1,1708333007
90,422,63,1,1707422763
91,250,9495,1,1707080839
92,20,211,-1,1708868376
93,527,7206,-1,1706953434
94,207,10339,1,1709200644
95,514,11445,1,1707824543
96,193,10444,1,1707784891
97,440,9009,1,1708190210
98,977,912,-1,1708415045
99,630,671,1,1708693898
100,292,12765,1,1708380776
101,22,6706,1,1709120914
102,445,10622,1,1707789597
103,140,6738,1,1707665262
104,961,9295,-1,1707110950
105,235,10086,1,1707758566
106,33,5478,1,1707342054
107,687,5709,1,1709307823
108,830,11370,-1,1707449508
109,308,14127,-1,1708699656
110,422,10267,-1,1709203208
111,906,5430,1,1707696952
112,796,934,1,1709107525
113,239,1480,1,1708739857
114,447,7792,-1,1708045460
115,955,4862,1,1708672891
116,486,2614,1,1707710860
117,58,5959,1,1707876250
118,458,6532,-1,1707593197
119,215,9019,-1,1707595794
120,847,11727,-1,1707900425
121,477,9773,1,1709004155
122,39,4431,1,1707132458
123,28,14899,1,1708878022
124,437,3219,-1,1706930251
125,104,10943,-1,1707840212
126,561,4154,-1,1706804878
127,446,3670,-1,1709060414
128,998,10084,-1,1709223400
129,538,8458,1,1706958121
130,917,13573,1,1708710755
131,224,7163,-1,1708535116
132,545,5277,1,1706823580
133,16,1010,-1,1709293907
134,318,8603,1,1708302617
135,931,4822,1,1709195439
136,713,3165,-1,1707381653
137,685,11221,1,1709156652
138,851,8222,-1,1708709946
139,5,245,-1,1707925450
140,874,6,-1,1708046816
141,910,10873,1,1708028410
142,789,4423,-1,1708703290
143,60,13556,-1,1707689260
144,890,14946,-1,1709023377
145,794,1915,1,1709280902
146,403,6242,-1,1709062389
147,261,7954,1,1707209869
148,986,2592,-1,1709176054
149,82,171,1,1707488133
150,242,2000,-1,1707185787
151,765,839,1,1706879581
152,945,9547,1,1708658690
153,184,7295,-1,1707094107
154,987,9204,-1,1709063196
155,633,5893,1,1706989249
156,171,11304,1,1709230740
157,390,1732,1,1707255977
158,582,11287,1,1708935073
159,345,5083,-1,1707496873
160,685,390,1,1708409890
161,781,8983,1,1709163542
162,172,12251,-1,1708868628
163,240,6682,-1,1707865939
164,641,12900,-1,1707501266
165,650,7139,-1,1708014261
166,24,7133,1,1709240885
167,198,14845,-1,1709246927
168,60,1020,1,1707878859
169,201,3358,-1,1708148312
170,922,3100,-1,1708782249
171,531,1435,1,1709220492
172,626,12315,-1,1707730913
173,454,11555,-1,1707769021
174,303,14735,1,1709260336
175,116,2941,-1,1708436603
176,594,4978,1,1708561792
177,228,917,1,1707591159
178,578,8050,1,1707299681
179,116,12478,-1,1709146428
180,103,182,1,1706856060
181,872,8843,1,1707648928
182,460,5749,-1,1709249238
183,987,2697,-1,1706854747
184,456,11658,1,1707695191
185,129,13219,1,1708988459
186,478,7988,1,1708594891
187,796,3070,1,1706874516
188,536,3344,1,1707360597
189,445,5678,-1,1709240522
190,442,1787,1,1707253572
191,934,3468,1,1708316904
192,553,10883,1,1708787546
193,111,9249,-1,1708546664
194,957,5525,-1,1708586586
195,833,10289,-1,1707156261
196,526,10718,1,1708200832
197,272,14098,-1,1707530143
198,691,9097,-1,1709256080
199,127,6433,-1,1707032397
200,750,11888,1,1707133988
201,244,8167,-1,1707981264
202,674,13797,1,1709159707
203,821,2106,1,1707334967
204,888,13347,1,1707426124
205,943,551,1,1708128655
206,319,13743,-1,1707429792
207,941,8951,-1,1707877595
208,666,4854,1,1709241904
209,297,7437,1,1709295371
210,216,10611,-1,1707755900
211,168,12686,-1,1708134282
212,176,838,-1,1707873840
213,990,7929,-1,1708041586
214,935,1984,-1,1707347386
215,996,5731,1,1707862630
216,468,11955,1,1708905620
217,239,10821,1,1709074777
218,283,4974,-1,1708105150
219,91,7326,1,1708759973
220,682,11740,-1,1708744518
221,589,1457,-1,1707459329
222,746,10866,-1,1707470991
223,81,10301,1,1707428475
224,187,11334,1,1708442699
225,886,14997,1,1708082603
226,90,5711,-1,1707592638
227,431,9316,1,1708516321
228,45,10999,-1,1707157225
229,822,14679,-1,1707539931
230,593,14646,-1,1707075275
231,715,11636,1,1706829142
232,662,2787,1,1709035984
233,483,12069,-1,1708827445
234,332,12465,1,1707798582
235,107,7094,-1,1708806310
236,941,2333,1,1706809201
237,901,7132,-1,1707797438
238,753,2851,-1,1707425128
239,294,1332,1,1708814783
240,914,9471,1,1708324420
241,339,2728,1,1707770465
242,496,14,-1,1707618666
243,463,4173,-1,1706890422
244,403,4323,-1,1707442117
245,539,11161,-1,1707065889
246,176,11429,1,1707639198
247,42,411,-1,1706994596
248,307,13879,-1,1708808335
249,754,5993,-1,1707219565
250,635,7591,1,1706821864
251,657,8827,1,1707273265
252,84,10368,-1,1709054476
253,525,2497,1,1707637353
254,926,4505,-1,1708254269
255,394,6909,-1,1708802568
256,230,10597,1,1709093436
257,398,9683,1,1707777602
258,990,12827,-1,1707695786
259,895,4336,1,1708487937
260,359,11730,1,1709083100
261,186,14607,-1,1707535414
262,654,997,-1,1708897474
263,37,11407,-1,1706822035
264,707,1730,1,1706921699
265,823,8394,-1,1709216914
266,957,1751,-1,1707634834
267,214,14338,-1,1708104708
268,492,14881,1,1707365103
269,822,7014,-1,1707320708
270,584,6035,-1,1708877604
271,94,3276,1,1708449549
272,381,5144,1,1708259567
273,120,1527,-1,1708189820
274,594,11532,-1,1708024963
275,198,11901,1,1708250011
276,331,2284,1,1708183293
277,946,14487,1,1707982167
278,861,1967,1,1707616724
279,720,8234,-1,1708596518
280,48,7458,1,1708523727
281,406,2068,-1,1709097929
282,1,13901,1,1709334490
283,614,3570,-1,1707769101
284,957,9122,1,1708375294
285,719,1142,1,1709257419
286,469,3051,-1,1707819184
287,468,14685,1,1708262858
288,420,4994,-1,1707106904
289,987,14483,1,1706830260
290,836,5281,-1,1708586043
291,567,1599,-1,1708416150
292,511,2937,1,1708490909
293,681,13701,1,1708355057
294,656,1223,-1,1708817347
295,159,11894,-1,1707951374
296,998,350,-1,1707236667
297,373,1474,-1,1707315008
298,26,12290,1,1708193907
299,320,9149,1,1706948279
300,336,9787,1,1706893232
301,932,12999,-1,1707893691
302,819,14802,1,1707230595
303,459,4987,1,1709003001
304,65,4499,-1,1708523445
305,468,13382,-1,1707350624
306,251,2214,1,1708774852
307,597,61,-1,1706931657
308,282,14568,1,1708078808
309,58,3314,1,1706918939
310,285,860,-1,1709061594
311,469,13417,1,1708739168
312,695,7829,-1,1706847003
313,223,2175,1,1707913647
314,565,159,1,1706849171
315,514,9571,1,1708659446
