order_id,customer_id,order_status,created_at
1,468,PENDING,1705141683
2,431,SHIPPED,1704524459
3,383,SHIPPED,1708082028
4,238,CANCELLED,1707382181
5,338,PAID,1704590830
6,247,CANCELLED,1707556023
7,147,CANCELLED,1705569202
8,10,PAID,1708904470
9,272,SHIPPED,1706079965
10,306,CANCELLED,1709217518
11,343,PAID,1705108314
12,143,CANCELLED,1705513914
13,245,PAID,1707366620
14,220,PAID,1707699527
15,62,PENDING,1706362083
16,462,PAID,1708859653
17,3,PAID,1704174751
18,462,CANCELLED,1706660344
19,226,SHIPPED,1705708132
20,40,CANCELLED,1704846566
21,52,SHIPPED,1707003072
22,28,PENDING,1708115049
23,242,CANCELLED,1705774569
24,100,CANCELLED,1706973433
25,296,PAID,1705298301
26,443,CANCELLED,1707961426
27,431,SHIPPED,1708130154
28,479,CANCELLED,1705231544
29,374,CANCELLED,1705553849
30,479,SHIPPED,1705146138
31,296,SHIPPED,1705426805
32,473,PAID,1706549262
33,106,SHIPPED,1704785463
34,436,PENDING,1708697972
35,199,SHIPPED,1704568488
36,358,SHIPPED,1704595969
37,206,CANCELLED,1708111955
38,17,PAID,1707983301
39,324,PAID,1707676050
40,279,PENDING,1704764044
41,325,PAID,1704386034
42,323,CANCELLED,1706098703
43,468,PAID,1707158698
44,375,PAID,1707767424
45,312,PENDING,1708583297
46,12,SHIPPED,1709201178
47,478,CANCELLED,1705389121
48,348,PAID,1704726258
49,371,SHIPPED,1706439770
50,238,PENDING,1704275669
51,273,PENDING,1705280062
52,90,CANCELLED,1704084741
53,96,PAID,1705520881
54,126,SHIPPED,1707889924
55,53,SHIPPED,1706172460
56,303,PENDING,1706278619
57,204,SHIPPED,1708559466
58,136,CANCELLED,1708024147
59,457,PENDING,1704945043
60,394,SHIPPED,1704339614
61,39,PAID,1707130249
62,343,PAID,1705344626
63,161,PENDING,1704246599
64,273,SHIPPED,1704783319
65,403,CANCELLED,1706573540
66,191,CANCELLED,1706524380
67,374,PAID,1704801024
68,311,PENDING,1706851375
69,64,PAID,1704974353
70,385,PENDING,1706411556
71,398,PENDING,1706019914
72,368,PAID,1705437701
73,275,PENDING,1708606239
74,282,PAID,1705648391
75,118,CANCELLED,1707771236
76,376,PAID,1706676275
77,327,PENDING,1708960278
78,222,SHIPPED,1705303972
79,232,PENDING,1707566022
80,196,PENDING,1708986840
81,473,CANCELLED,1706649731
82,495,PENDING,1706402041
83,127,CANCELLED,1705612387
84,339,SHIPPED,1704260725
85,172,CANCELLED,1704474318
86,267,PENDING,1706873733
87,234,CANCELLED,1704528912
88,154,SHIPPED,1706063267
89,135,CANCELLED,1706212041
90,290,PAID,1706297063
91,401,PENDING,1706153133
92,347,CANCELLED,1707886563
93,392,CANCELLED,1706583074
94,75,SHIPPED,1705477810
95,375,SHIPPED,1706734266
96,330,PENDING,1709137482
97,413,CANCELLED,1705759080
98,2,CANCELLED,1707943980
99,284,PENDING,1704774297
100,406,CANCELLED,1708930203
101,321,SHIPPED,1705772607
102,52,PENDING,1704299199
103,73,PENDING,1707252080
104,139,SHIPPED,1705739067
105,87,PENDING,1707003064
106,412,PENDING,1705047402
107,195,PAID,1705099478
108,376,SHIPPED,1709067299
109,84,PAID,1705559087
110,147,PENDING,1708876927
111,237,SHIPPED,1708287675
112,193,PAID,1708972615
113,485,CANCELLED,1707445869
114,451,SHIPPED,1706956103
115,367,PENDING,1704527150
116,111,SHIPPED,1707422305
117,126,CANCELLED,1704202715
118,196,PAID,1706415440
119,455,PAID,1704330962
120,25,PENDING,1709171547
121,87,PAID,1704937017
122,149,SHIPPED,1706290453
123,82,SHIPPED,1708617834
124,76,CANCELLED,1707462090
125,304,PAID,1706769678
126,372,PAID,1708242108
127,422,SHIPPED,1708332170
128,233,PAID,1708195408
129,82,SHIPPED,1706420837
130,45,CANCELLED,1709066576
131,485,PAID,1704257969
132,8,PENDING,1705710619
133,90,PAID,1704778080
134,14,PAID,1709010048
135,76,PAID,1705168449
136,271,PENDING,1706772166
137,32,PENDING,1704966439
138,213,SHIPPED,1704241740
139,338,PENDING,1705124804
140,347,SHIPPED,1705762840
141,447,SHIPPED,1706223335
142,345,CANCELLED,1706627418
143,114,PAID,1707669542
144,86,PENDING,1707297661
145,176,PENDING,1708660856
146,7,SHIPPED,1708661959
147,122,SHIPPED,1707396305
148,17,CANCELLED,1706623690
149,411,PENDING,1708010219
150,248,CANCELLED,1708236410
151,231,CANCELLED,1706640139
152,466,PENDING,1708687894
153,316,SHIPPED,1704736129
154,119,SHIPPED,1705119681
155,348,PAID,1706631928
156,347,PAID,1707452722
157,409,CANCELLED,1707618257
158,138,PENDING,1708259758
159,483,SHIPPED,1708846100
160,470,PENDING,1707806242
161,6,CANCELLED,1704525649
162,306,CANCELLED,1707519604
163,337,PAID,1706720812
164,207,PENDING,1707801571
165,129,PENDING,1708060523
166,300,SHIPPED,1706504094
167,496,PENDING,1707618014
168,37,PENDING,1707789393
169,37,CANCELLED,1706448871
170,320,CANCELLED,1708584879
171,391,SHIPPED,1707443869
172,472,PENDING,1704094333
173,56,SHIPPED,1704776522
174,273,PAID,1708175684
175,23,SHIPPED,1705268435
176,409,PENDING,1707364255
177,125,PENDING,1705993842
178,387,SHIPPED,1705125044
179,333,SHIPPED,1707061743
180,344,SHIPPED,1705992675
181,151,CANCELLED,1707200932
182,248,PENDING,1704422436
183,46,PENDING,1706083002
184,376,SHIPPED,1706067681
185,274,PENDING,1706889962
186,346,CANCELLED,1708152792
187,76,SHIPPED,1708094944
188,274,SHIPPED,1706241660
189,418,PAID,1707209732
190,457,PENDING,1704659228
191,187,PAID,1704404499
192,85,PAID,1705783144
193,54,PENDING,1707401149
194,406,CANCELLED,1706805662
195,160,SHIPPED,1705394441
196,253,PENDING,1706807257
197,11,PENDING,1706658373
198,331,SHIPPED,1704680647
199,106,CANCELLED,1706788548
200,331,CANCELLED,1707707835
201,320,PAID,1708843939
202,171,PAID,1705013675
203,160,CANCELLED,1706379137
204,346,PAID,1706684796
205,326,SHIPPED,1704925155
206,309,SHIPPED,1706852213
207,379,SHIPPED,1704392579
208,182,PENDING,1706845098
209,224,PENDING,1707570349
210,260,PAID,1708618579
211,15,SHIPPED,1707348697
212,427,PENDING,1705552160
213,45,PAID,1704311349
214,16,PAID,1705285673
215,31,PENDING,1706609153
216,367,SHIPPED,1707368908
217,338,PAID,1705971050
218,443,CANCELLED,1707098733
219,59,PAID,1704126919
220,461,CANCELLED,1706639945
221,213,PAID,1708244878
222,294,CANCELLED,1705595794
223,500,CANCELLED,1705004987
224,319,PAID,1709195435
225,289,SHIPPED,1708322003
226,323,CANCELLED,1707117250
227,141,SHIPPED,1708684417
228,192,PAID,1705659157
229,466,SHIPPED,1707769650
230,290,PAID,1708509401
231,242,PENDING,1704079758
232,425,PENDING,1709124796
233,311,CANCELLED,1707975243
234,398,CANCELLED,1707116692
235,423,PENDING,1706653173
236,439,SHIPPED,1706015982
237,92,SHIPPED,1704812236
238,357,SHIPPED,1707378790
239,302,SHIPPED,1709049785
240,267,CANCELLED,1707350974
241,273,PAID,1705106449
242,228,PENDING,1706128253
243,84,PAID,1707755175
244,498,SHIPPED,1707226574
245,318,PAID,1705062488
246,237,PENDING,1706608283
247,47,PAID,1706813328
248,407,PENDING,1708643774
249,451,SHIPPED,1706386870
250,172,PENDING,1706902782
251,230,SHIPPED,1708018132
252,490,PENDING,1709101626
253,18,CANCELLED,1705422309
254,465,PENDING,1706070723
255,485,SHIPPED,1708258973
256,296,PAID,1706973506
257,280,PAID,1708499144
258,481,PENDING,1707089081
259,250,PENDING,1708946303
