product_id,name,category,price,stock
1,Product 1,books,331.23,189
2,Product 2,sports,90.17,870
3,Product 3,sports,55.63,174
4,Product 4,clothing,122.2,540
5,Product 5,sports,123.17,598
6,Product 6,toys,198.27,677
7,Product 7,home,199.76,939
8,Product 8,sports,459.27,262
9,Product 9,clothing,192.09,199
10,Product 10,books,366.86,967
11,Product 11,books,250.8,640
12,Product 12,clothing,40.65,349
13,Product 13,sports,191.7,563
14,Product 14,home,447.75,354
15,Product 15,sports,165.99,599
16,Product 16,toys,377.62,947
17,Product 17,electronics,254.57,142
18,Product 18,sports,283.0,125
19,Product 19,electronics,307.2,728
20,Product 20,electronics,58.36,324
21,Product 21,home,168.11,375
22,Product 22,books,409.76,357
23,Product 23,toys,63.11,484
24,Product 24,electronics,253.05,144
25,Product 25,sports,353.88,391
26,Product 26,toys,168.77,409
27,Product 27,toys,288.66,463
28,Product 28,sports,240.15,253
29,Product 29,clothing,45.55,397
30,Product 30,electronics,228.23,585
31,Product 31,clothing,413.86,642
32,Product 32,sports,108.87,863
33,Product 33,sports,348.95,324
34,Product 34,sports,218.68,993
35,Product 35,electronics,253.65,139
36,Product 36,sports,125.61,60
37,Product 37,home,496.19,224
38,Product 38,home,52.01,248
39,Product 39,toys,5.65,782
40,Product 40,clothing,173.21,51
41,Product 41,books,46.19,294
42,Product 42,clothing,383.28,462
43,Product 43,home,312.99,20
44,Product 44,clothing,115.16,97
45,Product 45,books,50.49,882
46,Product 46,home,388.58,544
47,Product 47,books,315.7,378
48,Product 48,books,107.13,2
49,Product 49,home,189.03,989
50,Product 50,electronics,116.46,519
51,Product 51,clothing,410.57,138
52,Product 52,books,498.24,444
53,Product 53,toys,439.87,314
54,Product 54,toys,490.25,259
55,Product 55,toys,224.54,878
56,Product 56,clothing,428.36,364
57,Product 57,home,164.59,173
58,Product 58,toys,426.87,960
59,Product 59,home,145.78,766
60,Product 60,electronics,130.72,321
61,Product 61,electronics,226.52,467
62,Product 62,home,352.16,912
63,Product 63,clothing,311.81,91
64,Product 64,home,458.25,307
65,Product 65,electronics,462.1,867
66,Product 66,books,340.4,688
67,Product 67,home,229.85,231
68,Product 68,clothing,88.17,464
69,Product 69,toys,447.35,51
70,Product 70,electronics,323.1,586
71,Product 71,clothing,148.98,47
72,Product 72,sports,50.84,62
73,Product 73,electronics,134.04,634
74,Product 74,clothing,278.04,957
75,Product 75,electronics,346.21,288
76,Product 76,books,317.94,264
77,Product 77,home,389.86,946
78,Product 78,electronics,266.5,343
79,Product 79,toys,200.84,32
80,Product 80,clothing,458.56,714
81,Product 81,clothing,480.21,68
82,Product 82,clothing,303.29,457
83,Product 83,clothing,384.12,406
