order_id,customer_id,restaurant_id,status,created_at
1,2531,983,CANCELLED,1704587149
2,2284,251,PLACED,1706606415
3,1773,401,DELIVERED,1704357931
4,4611,196,DELIVERED,1706616099
5,1503,15,PLACED,1704144177
6,2194,932,DELIVERED,1704667834
7,1030,645,CANCELLED,1704728170
8,1723,196,ACCEPTED,1705711067
9,2175,841,PLACED,1704296064
10,1032,886,CANCELLED,1705313525
11,3362,988,ACCEPTED,1705709970
12,3044,700,ACCEPTED,1706500013
13,1297,306,PLACED,1705197995
14,3114,140,DELIVERED,1704101955
15,3104,753,DELIVERING,1704522411
16,2520,767,DELIVERED,1704633040
17,743,59,DELIVERED,1704829925
18,1635,747,DELIVERING,1705551080
19,546,419,ACCEPTED,1706503411
20,1169,262,DELIVERED,1704809043
21,1917,801,CANCELLED,1704646796
22,4751,788,DELIVERED,1704519146
23,2037,934,ACCEPTED,1704934253
24,299,265,DELIVERED,1706654799
25,1348,576,CANCELLED,1706375606
26,1503,372,ACCEPTED,1704620917
27,337,15,DELIVERED,1705215690
28,4531,917,DELIVERING,1704542643
29,2725,899,DELIVERING,1704229486
30,1809,514,ACCEPTED,1705249055
31,2441,576,PLACED,1705223969
32,4171,622,DELIVERING,1704766594
33,4930,53,DELIVERED,1705554370
34,1265,703,PLACED,1704527200
35,1710,356,DELIVERING,1704894708
36,3022,796,DELIVERED,1705745115
37,2350,886,DELIVERING,1705637623
38,3261,642,DELIVERING,1704780761
39,669,485,ACCEPTED,1705114211
40,1599,787,CANCELLED,1706369639
41,837,109,DELIVERING,1706603927
42,448,28,ACCEPTED,1706642362
43,1738,8,CANCELLED,1706073207
44,9,722,DELIVERING,1706566698
45,4206,807,ACCEPTED,1704683809
46,3403,968,DELIVERED,1704812264
47,4690,889,DELIVERED,1705180904
48,1097,215,PLACED,1705157516
49,1872,711,DELIVERING,1706213421
50,2645,361,DELIVERED,1705178727
51,2226,354,ACCEPTED,1705397792
52,658,111,ACCEPTED,1705421619
53,3701,246,PLACED,1705128346
54,4465,190,PLACED,1705423658
55,2891,618,PLACED,1706629856
56,2558,998,DELIVERING,1706123143
57,4679,687,DELIVERING,1706276649
58,3447,815,DELIVERING,1704954283
59,4613,113,DELIVERED,1704958790
60,2226,285,DELIVERED,1704448425
61,3549,519,PLACED,1704798810
62,3954,907,CANCELLED,1706000160
63,1794,85,CANCELLED,1704924205
64,2771,90,PLACED,1704309006
65,3402,156,DELIVERING,1705705705
66,1789,788,DELIVERING,1705591735
67,1143,507,ACCEPTED,1706370354
68,4519,661,DELIVERING,1705007786
69,433,579,DELIVERING,1705032167
70,2472,104,PLACED,1704218052
71,1220,270,DELIVERING,1706654328
72,1619,775,PLACED,1704896367
73,4473,210,ACCEPTED,1704625960
74,3346,65,ACCEPTED,1705906392
75,703,602,CANCELLED,1705880655
76,3849,149,PLACED,1704278463
77,2390,716,ACCEPTED,1704377766
78,1845,869,ACCEPTED,1705313106
79,464,567,PLACED,1704710754
80,3535,408,PLACED,1705551595
81,861,158,ACCEPTED,1704269963
82,1331,452,DELIVERING,1706155535
83,2960,486,PLACED,1704456410
84,1924,665,PLACED,1706369535
85,3991,483,CANCELLED,1704856815
86,3865,301,DELIVERED,1704261022
87,4432,17,PLACED,1705969684
88,2129,641,DELIVERING,1705486842
89,4983,654,ACCEPTED,1704710699
90,233,480,DELIVERED,1705104885
91,490,929,DELIVERING,1705654755
92,2672,869,CANCELLED,1705217152
93,2256,822,DELIVERED,1704379919
94,4274,450,ACCEPTED,1706629845
95,650,89,ACCEPTED,1705941270
96,2153,212,DELIVERED,1705432092
97,4383,686,DELIVERING,1705083442
98,3494,135,DELIVERED,1706626723
99,3542,695,PLACED,1706463634
100,45,61,CANCELLED,1705135741
101,1029,436,PLACED,1705247263
102,556,15,DELIVERED,1706129720
103,65,898,DELIVERING,1706239497
104,3162,614,CANCELLED,1705562204
105,1036,171,DELIVERED,1706067347
106,986,116,ACCEPTED,1705098559
107,4194,582,ACCEPTED,1705197330
108,3259,918,CANCELLED,1705076715
109,4150,612,CANCELLED,1704715242
110,1341,668,DELIVERING,1705589138
111,1749,949,PLACED,1704904632
112,2569,622,CANCELLED,1706111812
113,318,821,DELIVERED,1706435355
114,342,513,PLACED,1706558494
